,timestamp,sensor_id,range_sc,azimuth_sc,rcs,vr,vr_compensated,x_cc,y_cc,x_seq,y_seq,uuid,track_id,label_id
1374,158195868890,2,20.108973,0.2925966,4.527508,-2.9953575,1.2025518,23.762028,-3.5775163,3764.953,-2645.9207,b'1a3465f03f4d30e0394b4986f37f75be',b'f99cd724d1b311e69736bcaec523183d',0
1377,158195868890,2,19.499392,0.36319774,9.249854,-3.0342112,1.1990812,23.307476,-2.1219568,3765.727,-2647.2346,b'5f87e44088cb81821d635df43abb7960',b'f99cd724d1b311e69736bcaec523183d',0
1708,158195893546,3,19.802933,-0.607249,17.041748,-2.9633443,1.1963031,23.37327,-2.6746817,3765.4385,-2646.741,b'd7c58329a91b1fd8857f96b8740316b4',b'f99cd724d1b311e69736bcaec523183d',0
1777,158195942753,2,19.503378,0.33540857,14.571203,-2.987834,1.2079314,23.264423,-2.6621685,3765.3416,-2646.785,b'18a6d3faf2d77f29fb2aa0ce2fdcf6ca',b'f99cd724d1b311e69736bcaec523183d',0
1778,158195942753,2,20.5799,0.32029247,-7.3731117,-2.9740598,1.2144037,24.30185,-3.0797348,3764.2363,-2646.615,b'7f9ee6ce3dea7e64f50016661730c305',b'f99cd724d1b311e69736bcaec523183d',0
1779,158195942753,2,21.419888,0.33668274,-7.510145,-2.9705524,1.2257847,25.173939,-2.8278263,3763.4446,-2647.0593,b'ce7b7cae5f94324d78cfeb1ff8a3f8d7',b'f99cd724d1b311e69736bcaec523183d',0
1780,158195942753,2,22.977198,0.37969112,-15.889445,-3.4873362,0.7242969,26.80054,-1.9973958,3762.0505,-2648.2393,b'ccb7d29f7a927de5fd53c0ab992e55d7',b'f99cd724d1b311e69736bcaec523183d',0
2105,158195967113,3,19.538944,-0.597483,15.613192,-2.9486039,1.1932193,23.144743,-2.441512,3765.4126,-2647.0042,b'2115a9e86b8c02cf8181745a7ad34f50',b'f99cd724d1b311e69736bcaec523183d',0
2176,158196017317,2,19.221924,0.34313738,13.945733,-2.9697385,1.1994606,22.998774,-2.4859872,3765.3442,-2646.9817,b'85380c3832c9c4f427aa044a1bd57071',b'f99cd724d1b311e69736bcaec523183d',0
2177,158196017317,2,20.889366,0.34593034,-5.2664633,-2.9496574,1.2206857,24.664343,-2.582818,3763.7007,-2647.2683,b'dc7a0864abe553964d8a5048edab5fde',b'f99cd724d1b311e69736bcaec523183d',0
2518,158196040633,3,19.415434,-0.6019609,14.3712635,-2.92245,1.1896863,23.008669,-2.5074315,3765.2368,-2646.991,b'42be05589371fd243c9268ec6c899feb',b'f99cd724d1b311e69736bcaec523183d',0
2519,158196040633,3,20.159925,-0.5953875,3.2021432,-2.91959,1.1971873,23.764393,-2.4996524,3764.503,-2647.1714,b'1a72b6e1c7ee3a7f6aea41ce1a06eb86',b'f99cd724d1b311e69736bcaec523183d',0
2520,158196040633,3,20.999924,-0.59321743,-5.926557,-2.8892136,1.2290567,24.600927,-2.5879703,3763.6685,-2647.2769,b'0e03c5698336d65adc025c91ad1e4c50',b'f99cd724d1b311e69736bcaec523183d',0
2587,158196088791,2,20.018023,0.30025643,-6.178563,-2.8833961,1.2397486,23.693375,-3.4126627,3764.1616,-2646.327,b'767e67dab23a671a1cba019be93b8bd1',b'f99cd724d1b311e69736bcaec523183d',0
2592,158196088791,2,20.999905,0.3113542,-12.278431,-2.9060981,1.2234358,24.696499,-3.314646,3763.2078,-2646.6523,b'76b7994218b234c79a75d896fe7d86e1',b'f99cd724d1b311e69736bcaec523183d',0
2916,158196113604,3,19.175802,-0.6082638,14.611859,-2.8793628,1.2011688,22.751987,-2.5869837,3765.1685,-2646.9443,b'9b2fb4fe00eedb22f61f85dbeaab0e6e',b'f99cd724d1b311e69736bcaec523183d',0
2917,158196113604,3,20.15993,-0.60115814,1.4574332,-2.8479395,1.2378011,23.745602,-2.614461,3764.195,-2647.1458,b'70609757b033b89944c80a83ff10eb9d',b'f99cd724d1b311e69736bcaec523183d',0
2918,158196113604,3,20.999928,-0.604975,-1.9564652,-2.851731,1.231237,24.56084,-2.8316007,3763.3518,-2647.1216,b'1b4fe86ede17ad951e163d7bfd7f7140',b'f99cd724d1b311e69736bcaec523183d',0
2982,158196163213,2,20.438087,0.30306873,-5.539453,-2.855757,1.2493268,24.117273,-3.4126277,3763.453,-2646.5164,b'e5f51a2ae25d169d73cbb136121dbaa5',b'f99cd724d1b311e69736bcaec523183d',0
2985,158196163213,2,18.754166,0.34632382,14.821473,-2.8957613,1.2308403,22.538496,-2.3830166,3765.2263,-2647.155,b'c9ea8b5fd048ad3993ece3f03bc58ab5',b'f99cd724d1b311e69736bcaec523183d',0
2986,158196163213,2,19.739912,0.3063551,-8.911521,-2.8992922,1.2076967,23.433779,-3.2556505,3764.1543,-2646.512,b'e3543879df2987570d7145ba165e8588',b'f99cd724d1b311e69736bcaec523183d',0
3371,158196187427,3,18.58365,-0.58455765,-0.6556654,-2.8591144,1.218873,22.238964,-2.0506005,3765.498,-2647.4268,b'6f3f634cb566e078ee7296c20f16437a',b'f99cd724d1b311e69736bcaec523183d',0
3372,158196187427,3,19.40419,-0.6102172,5.299858,-2.8208394,1.2392381,22.97046,-2.6634688,3764.645,-2646.9988,b'd85c677b6dd3d49a75287e86c584001a',b'f99cd724d1b311e69736bcaec523183d',0
3373,158196187427,3,20.159927,-0.59625137,-0.9798255,-2.822293,1.2478647,23.761623,-2.5168467,3763.909,-2647.3235,b'0afb6cc6720593c013cf63f68bbd3982',b'f99cd724d1b311e69736bcaec523183d',0
3374,158196187427,3,20.99992,-0.5893483,-9.631737,-2.8151073,1.2597398,24.613491,-2.5076964,3763.082,-2647.5286,b'46ceb0b4d94e45d1ebfd336b90864d18',b'f99cd724d1b311e69736bcaec523183d',0
3448,158196237473,2,18.823929,0.26400933,6.5106926,-2.807211,1.2521188,22.405603,-3.9250453,3764.7048,-2645.703,b'e9bc744b15ccadc4ab7cc1eee34f1bc4',b'f99cd724d1b311e69736bcaec523183d',0
3450,158196237473,2,20.159924,0.28308448,-2.8724747,-2.817755,1.2549529,23.784111,-3.7744644,3763.3982,-2646.1675,b'83b20caafb772d2b2b7e01fa82b349a9',b'f99cd724d1b311e69736bcaec523183d',0
3454,158196237473,2,18.517502,0.3515655,13.92173,-2.8686037,1.239894,22.311245,-2.2650845,3765.1797,-2647.2964,b'5183a7502646406f269c6bf9b7a585ea',b'f99cd724d1b311e69736bcaec523183d',0
3455,158196237473,2,19.319885,0.36249286,1.1735299,-2.8532846,1.2591453,23.12745,-2.1224482,3764.4185,-2647.6235,b'5b89ed219fa7f9ef93b7c27979f36098',b'f99cd724d1b311e69736bcaec523183d',0
3456,158196237473,2,21.83988,0.34679958,-14.489726,-2.8652837,1.2413453,25.61269,-2.6495826,3761.8787,-2647.684,b'9bacd4d10da7bdbdddbc0c6fb91e0234',b'f99cd724d1b311e69736bcaec523183d',0
3457,158196237473,2,22.274668,0.3817627,-17.31654,-3.4695895,0.64857775,26.10169,-1.9116547,3761.573,-2648.515,b'593d5436cf2ffb61b8e8f8a54c584e1a',b'f99cd724d1b311e69736bcaec523183d',0
3458,158196237473,2,22.67988,0.3363789,-15.438917,-2.8481061,1.2541121,26.427013,-2.9598489,3761.0146,-2647.57,b'e2cd76b71e9cfb7ef8ec16f27fa2e960',b'f99cd724d1b311e69736bcaec523183d',0
3839,158196261303,3,18.742802,-0.58170325,7.8600707,-2.820213,1.2409059,22.404205,-2.0212348,3765.0508,-2647.5833,b'96312ed2812c1e4921d085ed00d3e2cc',b'f99cd724d1b311e69736bcaec523183d',0
3840,158196261303,3,20.039518,-0.61076725,-7.1200294,-2.6723251,1.3688307,23.594257,-2.78445,3763.7168,-2647.1155,b'feda26740eab14bc7ad3db59c76e48f2',b'f99cd724d1b311e69736bcaec523183d',0
3841,158196261303,3,20.15992,-0.583466,-11.277002,-2.916073,1.1439326,23.801117,-2.2621396,3763.636,-2647.6714,b'35c3cf5bfad0765d6a0b5729f8577559',b'f99cd724d1b311e69736bcaec523183d',0
3849,158196261303,3,22.476408,-0.54220927,-12.283104,-2.1127982,1.9699475,26.209757,-1.6827178,3761.4263,-2648.7915,b'30327f3ba69271454d839652dbc2979b',b'f99cd724d1b311e69736bcaec523183d',0
3920,158196309636,2,18.899925,0.28733826,4.778988,-2.8305244,1.2300264,22.550943,-3.5028281,3764.3733,-2646.2317,b'cff2c0b1af49ec6a944e13e7175d3637',b'f99cd724d1b311e69736bcaec523183d',0
3921,158196309636,2,19.739925,0.28070033,-3.6705208,-2.7867613,1.2694547,23.361794,-3.7569168,3763.5256,-2646.1719,b'2e336a75415651a0979d277f2ef1444b',b'f99cd724d1b311e69736bcaec523183d',0
3922,158196309636,2,20.579914,0.29728815,-16.19778,-2.7356684,1.3310448,24.241714,-3.5493164,3762.7175,-2646.5774,b'b4d8bf97150c07fba4968cae3928f225',b'f99cd724d1b311e69736bcaec523183d',0
3924,158196309636,2,20.960382,0.2986104,-16.034977,-4.056682,0.010819773,24.622337,-3.5745423,3762.3413,-2646.6409,b'02a164a2b225e3357915dbac31f36445',b'f99cd724d1b311e69736bcaec523183d',0
3927,158196309636,2,18.222635,0.34755647,9.583959,-2.846226,1.2454548,22.011112,-2.3129437,3765.1736,-2647.2644,b'35479cfdc6ed6a336c1e02c89f1c5193',b'f99cd724d1b311e69736bcaec523183d',0
3928,158196309636,2,22.679895,0.313149,-15.260162,-4.0284567,0.047247328,26.368448,-3.4834235,3760.6638,-2647.1333,b'db0148e37e1ca63f193da284fe9fc15b',b'f99cd724d1b311e69736bcaec523183d',0
4316,158196335220,3,18.675787,-0.6303926,6.522706,-2.7539494,1.2583272,22.184032,-2.907614,3764.766,-2646.7559,b'c11e7ec0cdd95da27a3a6908f4bd99be',b'f99cd724d1b311e69736bcaec523183d',0
4317,158196335220,3,20.159918,-0.577032,-7.92291,-2.7876725,1.2625628,23.81976,-2.1337779,3763.354,-2647.8872,b'2cdab5bfbeba49d97038194e0da6c28f',b'f99cd724d1b311e69736bcaec523183d',0
4318,158196335220,3,21.475807,-0.6125548,2.025341,-2.472173,1.5540698,25.001959,-3.0719893,3761.9866,-2647.2483,b'd687138393a2539953dffded31df906e',b'f99cd724d1b311e69736bcaec523183d',0
4381,158196384380,2,19.202585,0.30345547,-1.0125519,-2.7734823,1.281789,22.893686,-3.241286,3763.8027,-2646.6526,b'62ed9efe1906c9b2f96e2044a0fd34f9',b'f99cd724d1b311e69736bcaec523183d',0
4383,158196384380,2,18.053017,0.34724456,5.7107096,-2.8072815,1.2689644,21.84166,-2.3035388,3765.0435,-2647.3208,b'2f9afff7435701d04b251590583404b3',b'f99cd724d1b311e69736bcaec523183d',0
4384,158196384380,2,20.159897,0.33148074,-6.1570106,-2.7872105,1.2823832,23.90949,-2.8069856,3762.9153,-2647.3103,b'd721a678b7c9967771e960e8ed4f60f8',b'f99cd724d1b311e69736bcaec523183d',0
4775,158196410552,3,18.328053,-0.58341724,7.7245383,-2.7638803,1.2688999,21.989264,-1.9920957,3764.8677,-2647.6875,b'd90e7dcafe8abbdaf857427573d6e28d',b'f99cd724d1b311e69736bcaec523183d',0
4776,158196410552,3,19.319933,-0.6069559,0.26604176,-2.766876,1.2501152,22.8983,-2.586792,3763.8455,-2647.3198,b'9df8ac160837721770173adf8de1a7ef',b'f99cd724d1b311e69736bcaec523183d',0
4777,158196410552,3,20.579931,-0.6072324,-8.981219,-2.7316465,1.2851459,24.138962,-2.8067563,3762.5876,-2647.3938,b'84362f11e7b30cb2f46be3ae543a54f6',b'f99cd724d1b311e69736bcaec523183d',0
4778,158196410552,3,21.421968,-0.6103133,-3.9094124,-2.437022,1.5775356,24.957338,-3.0152528,3761.7434,-2647.3809,b'0b97e26893175a4eafe96a9bfb577515',b'f99cd724d1b311e69736bcaec523183d',0
4779,158196410552,3,22.259926,-0.60593563,-9.120303,-2.4023294,1.6153923,25.799288,-3.0645742,3760.9128,-2647.528,b'1bdb37152b48b092e2c935aa09dfb0b5',b'f99cd724d1b311e69736bcaec523183d',0
4860,158196458728,2,18.373726,0.29646468,-3.7022712,-2.5629811,1.46847,22.054672,-3.2588503,3764.318,-2646.5164,b'9b07744c362a866443fada79b75e024a',b'f99cd724d1b311e69736bcaec523183d',0
4861,158196458728,2,19.238134,0.27190542,-6.486061,-2.739185,1.2764423,22.839119,-3.8462489,3763.4187,-2646.1272,b'022e0faec19f3f580333cd7a3067d5b8',b'f99cd724d1b311e69736bcaec523183d',0
4865,158196458728,2,17.929296,0.31605527,12.7006,-2.7861426,1.2561879,21.660082,-2.8486767,3764.7974,-2646.8237,b'68d4b90b7e2ca7e7d90e61b058057eed',b'f99cd724d1b311e69736bcaec523183d',0
4866,158196458728,2,18.899893,0.35593113,-3.3341331,-2.7841988,1.27548,22.69906,-2.2151742,3763.9338,-2647.6812,b'64024669b010439ec593a3d8fbe57b7a',b'f99cd724d1b311e69736bcaec523183d',0
4867,158196458728,2,20.5799,0.320374,-17.370728,-2.7477484,1.296772,24.302044,-3.0780678,3762.1743,-2647.214,b'b14844b479eb91764038f1a5685b4c27',b'f99cd724d1b311e69736bcaec523183d',0
5258,158196484969,3,17.785334,-0.59399164,0.6327615,-2.7434518,1.2661117,21.423822,-2.098259,3765.097,-2647.5256,b'25e29fa3c6dc6bde0afc279b7328f5fb',b'f99cd724d1b311e69736bcaec523183d',0
5259,158196484969,3,18.616453,-0.62384236,7.8795633,-2.7016015,1.2862344,22.148981,-2.7764297,3764.234,-2647.0344,b'ac49a3a584b4185baa97aa2f98d1af2a',b'f99cd724d1b311e69736bcaec523183d',0
5260,158196484969,3,19.319925,-0.5844426,-0.24956036,-2.7492502,1.2665105,22.967457,-2.1573792,3763.5818,-2647.8267,b'e1e2a43b3d41aa7e74dc684f8fc77029',b'f99cd724d1b311e69736bcaec523183d',0
5261,158196484969,3,20.159927,-0.5980808,-9.568537,-2.7267365,1.2800614,23.755705,-2.5532498,3762.7231,-2647.6248,b'5b6959c10e583eac6b425f6037e9fa88',b'f99cd724d1b311e69736bcaec523183d',0
5262,158196484969,3,20.422436,-0.61842555,-8.515377,-2.4146523,1.5773908,23.943558,-3.0049443,3762.4353,-2647.229,b'2110a11b0d73a1c3491d84fdbdaf6a34',b'f99cd724d1b311e69736bcaec523183d',0
5263,158196484969,3,20.99992,-0.58837926,-11.285904,-2.763272,1.2499782,24.616589,-2.487583,3761.901,-2647.8887,b'13174809c4df9862a67341bdff8752fd',b'f99cd724d1b311e69736bcaec523183d',0
5264,158196484969,3,21.419912,-0.57707566,-6.7581916,-2.385163,1.6351285,25.067114,-2.3118145,3761.5037,-2648.1643,b'bdaca4d9580713036540e1a0f0d7fb46',b'f99cd724d1b311e69736bcaec523183d',0
5352,158196531652,2,17.657595,0.33160895,11.29357,-2.7719111,1.2584711,21.42113,-2.5432093,3764.8206,-2647.15,b'f6c9dda8a5c93d10f3d4f15a8cca65b0',b'f99cd724d1b311e69736bcaec523183d',0
5353,158196531652,2,18.696209,0.31959587,0.5085716,-2.7616882,1.2629228,22.429283,-2.874852,3763.763,-2647.062,b'346a856f4d0209acfe0c6caf91b5df37',b'f99cd724d1b311e69736bcaec523183d',0
5354,158196531652,2,19.739914,0.30668268,-8.947856,-2.734233,1.2835267,23.434616,-3.249238,3762.698,-2646.9321,b'3b081b566bacd18c6ef9d9a8e3144669',b'f99cd724d1b311e69736bcaec523183d',0
5355,158196531652,2,20.595478,0.3526532,-13.6325,-2.7777677,1.2613223,24.383667,-2.418391,3761.9685,-2647.961,b'3c30560fcd195cf3cca3ace8c8aaac6c',b'f99cd724d1b311e69736bcaec523183d',0
5712,158196558954,3,18.159796,-0.6062996,11.635209,-2.7148638,1.260127,21.757097,-2.3776789,3764.4236,-2647.42,b'b64d6d5131bc3afd8b5315eb3d3fdc52',b'f99cd724d1b311e69736bcaec523183d',0
5713,158196558954,3,18.814112,-0.5765814,-6.516664,-1.9345714,2.0599706,22.488506,-1.9362111,3763.815,-2648.0195,b'2a97137dca4d301e7819b8f4460133be',b'f99cd724d1b311e69736bcaec523183d',0
5714,158196558954,3,18.89993,-0.58932006,-1.1759992,-2.7384584,1.248134,22.538223,-2.1863985,3763.7085,-2647.7878,b'3a15b14568febecc2ee51717df404d3e',b'f99cd724d1b311e69736bcaec523183d',0
5715,158196558954,3,19.419445,-0.6147186,-8.086079,-2.6500573,1.3187557,22.970139,-2.75217,3763.1565,-2647.3381,b'f33f890b9b97c35a7d2264ba017b6fe4',b'f99cd724d1b311e69736bcaec523183d',0
5716,158196558954,3,19.739923,-0.5850369,-9.77859,-2.6917684,1.2975692,23.381098,-2.2310975,3762.8784,-2647.9407,b'35cdb64f5ec83761095f8aadaa2ac22d',b'f99cd724d1b311e69736bcaec523183d',0
5717,158196558954,3,20.598341,-0.5838071,-9.783445,-2.728051,1.2620614,24.233746,-2.3335078,3762.0251,-2648.0398,b'196f2bcc7266ce9052cab92816ecba50',b'f99cd724d1b311e69736bcaec523183d',0
5817,158196603655,2,19.319918,0.30102843,-8.033918,-2.7173991,1.2772713,23.003723,-3.3032837,3762.8179,-2646.8635,b'5b8072c3f08deab597059963a0f7b7bd',b'f99cd724d1b311e69736bcaec523183d',0
5818,158196603655,2,21.250792,0.29006234,-16.067387,-3.3567224,0.6314006,24.884321,-3.7941976,3760.8748,-2646.825,b'ca4262d420c2080b3fda4fa1921123ea',b'f99cd724d1b311e69736bcaec523183d',0
5820,158196603655,2,17.436443,0.35957107,7.3254538,-2.7624302,1.2590499,21.245295,-2.0345795,3764.824,-2647.6868,b'10311dbc805ddebf8fefb51ad55b3b98',b'f99cd724d1b311e69736bcaec523183d',0
5821,158196603655,2,18.34856,0.3242365,-0.648793,-2.7381167,1.2688255,22.093704,-2.7498178,3763.832,-2647.1892,b'8cddea03564bc43dad17e284bbd3dc8d',b'f99cd724d1b311e69736bcaec523183d',0
5822,158196603655,2,20.090113,0.34932035,-16.460262,-2.7338774,1.2839015,23.874365,-2.44294,3762.172,-2647.903,b'1cf64c5a695d0dcf0f277660df538f93',b'f99cd724d1b311e69736bcaec523183d',0
5823,158196603655,2,21.356236,0.3134255,-14.418125,-2.7235544,1.2779394,25.05552,-3.3151147,3760.82,-2647.3308,b'6f0179e0d231d91a67dae1ebbaadc4dd',b'f99cd724d1b311e69736bcaec523183d',0
6073,158196632215,3,17.89756,-0.6545627,9.996869,-2.6408694,1.2718202,21.33178,-3.1806695,3764.3586,-2646.6284,b'9cea0cb743dea5fc2562ec43b78cdd1f',b'f99cd724d1b311e69736bcaec523183d',0
6077,158196632215,3,18.55132,-0.5714731,-4.9070373,-2.7553806,1.2184564,22.241344,-1.8055253,3763.7957,-2648.178,b'88221aa755795474754f2b25118fd088',b'f99cd724d1b311e69736bcaec523183d',0
6078,158196632215,3,18.89994,-0.6150023,-6.14756,-2.6529005,1.2922997,22.457954,-2.6650949,3763.3843,-2647.3928,b'd5fed1853275164d02bc7a57427f393c',b'f99cd724d1b311e69736bcaec523183d',0
6079,158196632215,3,21.211643,-0.5963914,-10.734488,0.14551616,4.103878,24.799389,-2.687597,3761.1023,-2647.918,b'0dae75c6d1da0218218bf8d1c4a09f1f',b'f99cd724d1b311e69736bcaec523183d',0
6292,158196680402,2,17.309143,0.3537157,5.3838615,-2.7348378,1.2646478,21.110315,-2.1258671,3764.6387,-2647.6477,b'e76f7cb7aaf507742c2ce64fcd7aeee2',b'f99cd724d1b311e69736bcaec523183d',0
6293,158196680402,2,18.89989,0.3544743,-8.544609,-2.7250617,1.2746977,22.696833,-2.2426176,3763.0688,-2647.9053,b'0be23f7c85d770a6e5fbc4d28abbf3d4',b'f99cd724d1b311e69736bcaec523183d',0
6294,158196680402,2,20.554428,0.3546941,-15.149994,-2.738883,1.2609552,24.346216,-2.373159,3761.4346,-2648.1643,b'b94bdecce127c78c65bf39a8b81d18d1',b'f99cd724d1b311e69736bcaec523183d',0
6488,158196705106,3,17.65574,-0.5955586,9.502405,-2.6743479,1.2648251,21.29147,-2.105187,3764.3696,-2647.739,b'0d43233d664352f62d3da0ed34980a2a',b'f99cd724d1b311e69736bcaec523183d',0
6489,158196705106,3,18.33221,-0.5779221,-7.944406,-3.5358033,0.41446608,22.007898,-1.8930206,3763.723,-2648.113,b'c7d9055b6508217ac25f5fbeb2bc3e1f',b'f99cd724d1b311e69736bcaec523183d',0
6707,158196754364,2,18.479927,0.28810734,-5.608654,-2.6640882,1.2831473,22.137691,-3.426487,3763.0513,-2646.7095,b'123bbf341692287ae0506b16e607c358',b'f99cd724d1b311e69736bcaec523183d',0
6708,158196754364,2,20.591434,0.29319078,-19.596375,-3.9382522,0.012071012,24.241272,-3.6344457,3760.9575,-2647.0005,b'd667436e2e6ba2ef8a80d0d477e0ec79',b'f99cd724d1b311e69736bcaec523183d',0
6716,158196754364,2,17.101458,0.3317493,8.043123,-2.6841753,1.2862388,20.86828,-2.482769,3764.5066,-2647.329,b'2ccc368ba7e2649d2666e737c07b9d3d',b'f99cd724d1b311e69736bcaec523183d',0
6717,158196754364,2,19.298506,0.33113882,-15.944589,-2.7114112,1.2587306,23.052126,-2.7235205,3762.3271,-2647.6072,b'42da11b543338a429db0b4ffe27a7a92',b'f99cd724d1b311e69736bcaec523183d',0
6718,158196754364,2,20.066614,0.35594165,-14.137981,-2.6786273,1.3013803,23.862043,-2.308498,3761.6372,-2648.2007,b'd00f53e89d9f7ffa94f0e211bb840560',b'f99cd724d1b311e69736bcaec523183d',0
6719,158196754364,2,20.819157,0.30618292,-11.199344,-3.3177125,0.64003783,24.503475,-3.39893,3760.7578,-2647.291,b'69eeb97f6017cc65570d2113b5459744',b'f99cd724d1b311e69736bcaec523183d',0
6942,158196780698,3,17.545746,-0.614485,4.560486,-2.6554189,1.2515206,21.12701,-2.4150522,3764.166,-2647.489,b'5dd25ae0e5b28567069485607f3393bc',b'f99cd724d1b311e69736bcaec523183d',0
6943,158196780698,3,18.899944,-0.6239175,-14.508502,-2.6085138,1.2913389,22.42722,-2.8307643,3762.8044,-2647.3901,b'f0121664c48a261f096fccce7bdd6822',b'f99cd724d1b311e69736bcaec523183d',0
6944,158196780698,3,20.706148,-0.5807247,-13.570486,-3.5035152,0.42593613,24.34968,-2.2862415,3761.0637,-2648.371,b'9021b96af9db82c57db864c0055ee8e3',b'f99cd724d1b311e69736bcaec523183d',0
7145,158196827416,2,17.080482,0.26026204,-1.0232437,-2.6315556,1.2723243,20.676851,-3.6893845,3764.1274,-2646.1982,b'd4a99eedb080d06ccc101742ecb836fb',b'f99cd724d1b311e69736bcaec523183d',0
7147,158196827416,2,20.812685,0.29623583,-16.90767,-2.628428,1.2986972,24.4692,-3.603233,3760.4617,-2647.1738,b'094361ff210d2c4e8051059a447fd9ab',b'f99cd724d1b311e69736bcaec523183d',0
7153,158196827416,2,17.48626,0.32519016,1.3946068,-2.5894742,1.3526707,21.238655,-2.6369133,3763.8289,-2647.3533,b'65ae411ac60d5d10198025ba99939404',b'f99cd724d1b311e69736bcaec523183d',0
7154,158196827416,2,18.637613,0.3115869,-11.338455,-2.660204,1.2752953,22.353128,-3.0162196,3762.6565,-2647.2468,b'5b1a0e2087b958c057944a0a9b870785',b'f99cd724d1b311e69736bcaec523183d',0
7155,158196827416,2,19.319895,0.34413448,-15.206809,-2.6062093,1.343975,23.0981,-2.4759085,3762.0593,-2647.947,b'6754b35c03e986d56634ac933acba8ba',b'f99cd724d1b311e69736bcaec523183d',0
7156,158196827416,2,20.29165,0.30554396,-15.997603,-3.9012547,0.031058712,23.978737,-3.3434014,3760.9995,-2647.311,b'5ad5e526caf69912a0ba40c325abe5c4',b'f99cd724d1b311e69736bcaec523183d',0
7157,158196827416,2,20.518393,0.37371665,-17.952827,-3.7172737,0.24262819,24.338371,-1.9809301,3760.9702,-2648.7197,b'cfb5fff63e629310525fcf6f3558249d',b'f99cd724d1b311e69736bcaec523183d',0
